"Time,V1,V2,V3,V4,V5,Amount,Class"
"100,0.12,-1.23,0.45,1.2,-0.56,250.5,0"
"200,-0.45,0.67,-1.23,0.34,0.89,1200.0,0"
"300,1.23,-0.45,0.78,-1.2,0.56,500.0,0"
"400,-1.56,1.34,-0.67,0.89,-0.23,3000.0,1"
"500,0.89,-0.12,1.45,0.23,-1.56,750.0,0"
"600,-0.34,0.98,-1.45,1.67,0.45,60.0,1"
"700,1.56,-0.78,0.23,-0.45,1.23,980.0,0"
"800,-0.78,1.12,-0.89,0.56,-0.67,450.0,0"
"900,0.34,-1.56,1.23,-0.78,0.12,2200.0,1"
"1000,-1.12,0.45,-0.34,1.23,-0.89,150.0,0"
"1100,0.67,-0.89,1.56,-0.23,0.45,890.0,0"
"1200,-0.23,1.45,-1.12,0.78,-0.56,430.0,1"
"1300,1.78,-0.67,0.34,-1.45,1.12,120.0,0"
"1400,-1.34,0.89,-0.78,1.56,-0.12,3400.0,1"
"1500,0.23,-1.45,1.67,-0.34,0.78,670.0,0"
